856_domain	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
ASBMR.ONLINELIBRARY.WILEY.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ASCELIBRARY.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCILITE.ORG.AU	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCOPUBS.ORG	1	5	5	1	0	1	0	0	0	0	1	1	0
ASCPT.ONLINELIBRARY.WILEY.COM	0	10	9	0	0	8	0	0	0	0	3	3	0
ASDIWAL.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ASEESTANT.CEON.RS	0	1	0	0	0	1	0	0	0	0	0	0	0
ASG.UNIGE.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ASHEDUCATIONBOOK.HEMATOLOGYLIBRARY.ORG	0	1	1	0	0	0	0	0	0	0	0	0	0
ASHGATE.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ASHPUBLICATIONS.ORG	0	25	24	4	0	0	0	0	0	0	4	4	0
ASI4.UJI.ES	0	0	0	0	0	0	0	0	0	0	0	0	0
ASIL.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ASILE.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ASLEMAN.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ASLING.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ASLO.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ASM.SAGEPUB.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ASMEDIGITALCOLLECTION.ASME.ORG	0	0	0	0	0	0	0	0	0	0	1	1	0
ASNP.CH	0	1	1	0	0	0	0	0	0	0	0	0	0
ASP-EURASIPJOURNALS.SPRINGEROPEN.COM	0	1	1	0	0	0	0	0	0	0	1	1	0
ASP.EURASIPJOURNALS.SPRINGEROPEN.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ASP.REVUES.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ASSITERM91.IT	0	0	0	0	0	0	0	0	0	0	0	0	0
ASSO-ETUD.UNIGE.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
